362,474,1789,267
364,471,1784,272
365,469,1785,270
367,466,1784,279
367,464,1784,282
368,461,1781,284
369,459,1778,289
369,456,1776,295
371,453,1774,300
372,449,1770,312
373,448,1767,322
375,441,1766,329
377,438,1764,333
378,434,1759,348
379,430,1754,359
382,426,1756,363
385,421,1752,374
386,420,1743,394
388,414,1740,404
393,408,1737,419
394,405,1733,426
398,401,1724,444
399,400,1720,455
403,394,1716,464
408,389,1710,475
412,384,1708,486
418,378,1703,494
423,374,1700,501
429,370,1691,512
436,365,1686,524
439,363,1677,531
444,358,1674,543
448,353,1663,557
453,350,1657,566
454,349,1649,576
457,344,1644,587
459,344,1637,594
464,338,1630,601
470,332,1628,614
471,328,1619,618
473,322,1618,628
476,319,1617,631
479,318,1611,641
484,313,1608,646
493,309,1605,654
497,307,1595,675
501,304,1592,688
502,304,1589,689
503,304,1585,698
506,304,1575,710
509,304,1569,721
512,304,1559,730
514,304,1554,735
518,304,1551,741
521,303,1549,742
523,305,1547,742
528,302,1545,743
532,303,1540,745
537,304,1535,745
541,304,1537,743
544,302,1531,745
546,304,1525,743
549,302,1517,748
550,301,1514,745
551,301,1509,746
553,302,1503,746
553,301,1501,748
555,303,1498,748
558,302,1495,748
559,301,1494,747
562,301,1492,748
561,303,1490,748
570,309,1489,748
573,313,1487,747
578,314,1484,748
581,318,1482,744
584,325,1476,737
586,326,1468,718
589,328,1463,710
594,331,1459,703
594,334,1458,694
600,339,1452,680
599,341,1452,673
605,346,1447,666
609,353,1443,655
615,357,1436,637
618,359,1435,629
623,360,1432,621
625,363,1426,615
632,366,1418,607
635,368,1413,601
641,371,1409,599
646,374,1403,591
651,376,1394,578
654,381,1387,569
656,382,1380,562
658,382,1376,554
661,383,1371,549
660,383,1365,542
663,386,1364,539
664,384,1364,539
666,386,1362,533
669,391,1359,528
670,391,1353,524
672,391,1351,521
671,393,1348,515
672,393,1345,511
673,394,1346,509
673,395,1345,508
674,396,1344,506
675,395,1344,503
676,396,1341,501
676,397,1344,501
676,396,1342,496
676,397,1339,495
678,396,1337,493
679,399,1337,492
678,400,1337,489
682,399,1332,487
684,401,1331,485
683,401,1330,482
689,404,1319,474
698,409,1314,469
706,414,1304,461
718,416,1297,457
725,414,1274,449
738,417,1261,449
753,420,1242,446
764,417,1225,445
779,420,1198,443
791,418,1179,444
804,418,1163,443
808,418,1153,439
816,418,1128,438
825,423,1119,434
829,421,1111,432
836,421,1103,423
841,425,1085,412
849,428,1073,404
859,433,1055,395
868,436,1043,384
878,440,1017,357
885,444,1004,344
893,449,990,331
896,453,979,316
904,459,959,295
911,459,950,290
914,461,943,282
918,464,935,274
921,464,926,267
925,465,914,261
930,468,908,255
936,469,898,252
941,473,868,231
947,474,860,224
957,477,848,214
961,479,839,207
963,481,827,195
967,480,820,189
971,483,816,182
973,484,813,179
974,485,808,165
976,486,803,163
978,489,800,156
979,490,796,151
980,491,790,139
983,492,786,137
984,494,784,134
984,496,781,130
986,497,779,123
987,498,777,118
986,498,777,113
