362,474
364,471
365,469
367,466
367,464
368,461
369,459
369,456
371,453
372,449
373,448
375,441
377,438
378,434
379,430
382,426
385,421
386,420
388,414
393,408
394,405
398,401
399,400
403,394
408,389
412,384
418,378
423,374
429,370
436,365
439,363
444,358
448,353
453,350
454,349
457,344
459,344
464,338
470,332
471,328
473,322
476,319
479,318
484,313
493,309
497,307
501,304
502,304
503,304
506,304
509,304
512,304
514,304
518,304
521,303
523,305
528,302
532,303
537,304
541,304
544,302
546,304
549,302
550,301
551,301
553,302
553,301
555,303
558,302
559,301
562,301
561,303
570,309
573,313
578,314
581,318
584,325
586,326
589,328
594,331
594,334
600,339
599,341
605,346
609,353
615,357
618,359
623,360
625,363
632,366
635,368
641,371
646,374
651,376
654,381
656,382
658,382
661,383
660,383
663,386
664,384
666,386
669,391
670,391
672,391
671,393
672,393
673,394
673,395
674,396
675,395
676,396
676,397
676,396
676,397
678,396
679,399
678,400
682,399
684,401
683,401
689,404
698,409
706,414
718,416
725,414
738,417
753,420
764,417
779,420
791,418
804,418
808,418
816,418
825,423
829,421
836,421
841,425
849,428
859,433
868,436
878,440
885,444
893,449
896,453
904,459
911,459
914,461
918,464
921,464
925,465
930,468
936,469
941,473
947,474
957,477
961,479
963,481
967,480
971,483
973,484
974,485
976,486
978,489
979,490
980,491
983,492
984,494
984,496
986,497
987,498
986,498
