1789,267
1784,272
1785,270
1784,279
1784,282
1781,284
1778,289
1776,295
1774,300
1770,312
1767,322
1766,329
1764,333
1759,348
1754,359
1756,363
1752,374
1743,394
1740,404
1737,419
1733,426
1724,444
1720,455
1716,464
1710,475
1708,486
1703,494
1700,501
1691,512
1686,524
1677,531
1674,543
1663,557
1657,566
1649,576
1644,587
1637,594
1630,601
1628,614
1619,618
1618,628
1617,631
1611,641
1608,646
1605,654
1595,675
1592,688
1589,689
1585,698
1575,710
1569,721
1559,730
1554,735
1551,741
1549,742
1547,742
1545,743
1540,745
1535,745
1537,743
1531,745
1525,743
1517,748
1514,745
1509,746
1503,746
1501,748
1498,748
1495,748
1494,747
1492,748
1490,748
1489,748
1487,747
1484,748
1482,744
1476,737
1468,718
1463,710
1459,703
1458,694
1452,680
1452,673
1447,666
1443,655
1436,637
1435,629
1432,621
1426,615
1418,607
1413,601
1409,599
1403,591
1394,578
1387,569
1380,562
1376,554
1371,549
1365,542
1364,539
1364,539
1362,533
1359,528
1353,524
1351,521
1348,515
1345,511
1346,509
1345,508
1344,506
1344,503
1341,501
1344,501
1342,496
1339,495
1337,493
1337,492
1337,489
1332,487
1331,485
1330,482
1319,474
1314,469
1304,461
1297,457
1274,449
1261,449
1242,446
1225,445
1198,443
1179,444
1163,443
1153,439
1128,438
1119,434
1111,432
1103,423
1085,412
1073,404
1055,395
1043,384
1017,357
1004,344
990,331
979,316
959,295
950,290
943,282
935,274
926,267
914,261
908,255
898,252
868,231
860,224
848,214
839,207
827,195
820,189
816,182
813,179
808,165
803,163
800,156
796,151
790,139
786,137
784,134
781,130
779,123
777,118
777,113
